code,im,ro,da,vi,tv,pr
KH,Камбоджа,Камбоджи,Камбодже,Камбоджу,Камбоджой,Камбодже
CM,Камерун,Камеруна,Камеруну,Камерун,Камеруном,Камеруне
CA,Канада,Канады,Канаде,Канаду,Канадой,Канаде
QA,Катар,Катара,Катару,Катар,Катаром,Катаре
KE,Кения,Кении,Кении,Кению,Кенией,Кении
CY,Кипр,Кипра,Кипру,Кипр,Кипром,Кипре
KG,Киргизия,Киргизии,Киргизии,Киргизию,Киргизией,Киргизии
KI,Кирибати,Кирибати,Кирибати,Кирибати,Кирибати,Кирибати
CN,Китай,Китая,Китаю,Китай,Китаем,Китае
CC,Кокосовые (Килинг) острова,Кокосовых островов,Кокосовым островам,Кокосовые острова,Кокосовыми островами,Кокосовых островах
CO,Колумбия,Колумбии,Колумбии,Колумбию,Колумбией,Колумбии
KM,Коморы,Коморов,Коморам,Коморы,Коморами,Коморах
CG,Конго,Конго,Конго,Конго,Конго,Конго
CD,"Конго, Демократическая Республика","Конго, Демократическая Республика","Конго, Демократическая Республика","Конго, Демократическая Республика","Конго, Демократическая Республика","Конго, Демократическая Республика"
XK,Косово,Косово,Косово,Косово,Косово,Косово
CR,Коста Рика,Коста-Рики,Коста-Рике,Коста-Рику,Коста-Рикой,Коста-Рике
CI,Кот д'Ивуар,Кот-д'Ивуара,Кот-д'Ивуару,Кот-д'Ивуар,Кот-д'Ивуаром,Кот-д'Ивуаре
KX,Крым,Крыма,Крыму,Крым,Крымом,Крыме
CU,Куба,Кубы,Кубе,Кубу,Кубой,Кубе
KW,Кувейт,Кувейта,Кувейту,Кувейт,Кувейтом,Кувейте
CW,Кюрасао,Кюрасао,Кюрасао,Кюрасао,Кюрасао,Кюрасао
LA,Лаос,Лаоса,Лаосу,Лаос,Лаосом,Лаосе
LV,Латвия,Латвии,Латвии,Латвию,Латвией,Латвии
LS,Лесото,Лесото,Лесото,Лесото,Лесото,Лесото
LR,Либерия,Либерии,Либерии,Либерию,Либерией,Либерии
LB,Ливан,Ливана,Ливану,Ливан,Ливаном,Ливане
LY,Ливия,Ливии,Ливии,Ливию,Ливией,Ливии
LT,Литва,Литвы,Литве,Литву,Литвой,Литве
LI,Лихтенштейн,Лихтенштейна,Лихтенштейну,Лихтенштейн,Лихтенштейном,Лихтенштейне
LU,Люксембург,Люксембурга,Люксембургу,Люксембург,Люксембургом,Люксембурге
MU,Маврикий,Маврикия,Маврикию,Маврикия,Маврикием,Маврикии
MR,Мавритания,Мавритании,Мавритании,Мавританию,Мавританией,Мавритании
MG,Мадагаскар,Мадагаскара,Мадагаскару,Мадагаскар,Мадагаскаром,Мадагаскаре
YT,Майотта,Майотты,Майотте,Майотту,Майоттой,Майотте
MO,Макао,Макао,Макао,Макао,Макао,Макао
MK,Македония,Македонии,Македонии,Македонию,Македонией,Македонии
MW,Малави,Малави,Малави,Малави,Малави,Малави
MY,Малайзия,Малайзии,Малайзии,Малайзию,Малайзией,Малайзии
ML,Мали,Мали,Мали,Мали,Мали,Мали
UM,Малые Тихоокеанские отдаленные острова Соединенных Штатов,Малых Тихоокеанских отдаленных островов Соединенных Штатов,Малым Тихоокеанским отдаленным островам Соединенных Штатов,Малые Тихоокеанские отдаленные острова Соединенных Штатов,Малыми Тихоокеанскими отдаленными островами Соединенных Штатов,Малых Тихоокеанских отдаленных островах Соединенных Штатов
MV,Мальдивы,Мальдив,Мальдивам,Мальдивы,Мальдивами,Мальдивах
MT,Мальта,Мальты,Мальте,Мальту,Мальтой,Мальте
MA,Марокко,Марокко,Марокко,Марокко,Марокко,Марокко
MQ,Мартиника,Мартиники,Мартинике,Мартинику,Мартиникой,Мартинике
MH,Маршалловы острова,Маршалловых островов,Маршалловым островам,Маршалловы острова,Маршалловыми островами,Маршалловых островах
MX,Мексика,Мексики,Мексике,Мексику,Мексикой,Мексике
FM,Микронезия,Микронезии,Микронезии,Микронезию,Микронезией,Микронезии
MZ,Мозамбик,Мозамбика,Мозамбику,Мозамбик,Мозамбиком,Мозамбике
MD,Молдавия,Молдавии,Молдавии,Молдавию,Молдавией,Молдавии
MC,Монако,Монако,Монако,Монако,Монако,Монако
MN,Монголия,Монголии,Монголии,Монголию,Монголией,Монголии
MS,Монтсеррат,Монтсеррата,Монтсеррату,Монтсеррат,Монтсерратом,Монтсеррате
MM,Мьянма,Мьянмы,Мьянме,Мьянму,Мьянмой,Мьянме
NA,Намибия,Намибии,Намибии,Намибию,Намибией,Намибии
NR,Науру,Науру,Науру,Науру,Науру,Науру
NP,Непал,Непала,Непалу,Непал,Непалом,Непале
NE,Нигер,Нигера,Нигеру,Нигер,Нигером,Нигере
NG,Нигерия,Нигерии,Нигерии,Нигерию,Нигерией,Нигерии
NL,Нидерланды,Нидерландов,Нидерландам,Нидерланды,Нидерландами,Нидерландах
NI,Никарагуа,Никарагуа,Никарагуа,Никарагуа,Никарагуа,Никарагуа
NU,Ниуэ,Ниуэ,Ниуэ,Ниуэ,Ниуэ,Ниуэ
NZ,Новая Зеландия,Новоой Зеландии,Новой Зеландии,Новую Зеландию,Новой Зеландией,Новой Зеландии
NC,Новая Каледония,Новой Каледонии,Новой Каледонии,Новую Каледонию,Новой Каледонией,Новой Каледонии
NO,Норвегия,Норвегии,Норвегии,Норвегию,Норвегией,Норвегии
AE,ОАЭ,Объединённых Арабских Эмират,Объединённым Арабским Эмиратам,Объединённые Арабские Эмираты,Объединёнными Арабскими Эмиратами,Объединённых Арабских Эмиратах
OM,Оман,Омана,Оману,Оман,Оманом,Омане
BV,Остров Буве,Острова Буве,Острову Буве,Остров Буве,Островом Буве,Острове Буве
IM,Остров Мэн,Острова Мэн,Острову Мэн,Остров Мэн,Островом Мэн,Острове Мэн
NF,Остров Норфолк,Острова Норфолк,Острову Норфолк,Остров Норфолк,Островом Норфолк,Острове Норфолк
CX,Остров Рождества,Острова Рождества,Острову Рождества,Остров Рождества,Островом Рождества,Острове Рождества
HM,Остров Херд и острова Макдональд,Остров Херд и острова Макдональд,Остров Херд и острова Макдональд,Остров Херд и острова Макдональд,Остров Херд и острова Макдональд,Остров Херд и острова Макдональд
CK,Острова Кука,Островов Кука,Островам Кука,Острова Кука,Островами Кука,Островах Кука
PK,Пакистан,Пакистана,Пакистану,Пакистан,Пакистаном,Пакистане
PW,Палау,Палау,Палау,Палау,Палау,Палау
PS,Палестинские территории,Палестинских территорий,Палестинским территориям,Палестинские территории,Палестинскими территориями,Палестинских территориях
PA,Панама,Панамы,Панаме,Панаму,Панамой,Панаме
PG,Папуа Новая Гвинея,Папуа-Новой Гвинеи,Папуа-Новой Гвинее,Папуа-Новую Гвинею,Папуа-Новой Гвинеей,Папуа-Новой Гвинеи
PY,Парагвай,Парагвая,Парагваю,Парагвай,Парагваем,Парагвае
PE,Перу,Перу,Перу,Перу,Перу,Перу
PN,Питкэрн,Питкэрна,Питкэрну,Питкэрн,Питкэрном,Питкэрне
PL,Польша,Польши,Польше,Польшу,Польшей,Польше
PT,Португалия,Португалии,Португалии,Португалию,Португалией,Португалии
PR,Пуэрто-Рико,Пуэрто-Рико,Пуэрто-Рико,Пуэрто-Рико,Пуэрто-Рико,Пуэрто-Рико
RE,Реюньон,Реюньона,Реюньону,Реюньон,Реюньоном,Реюньоне
RU,Россия,России,России,Россию,Россией,России
RW,Руанда,Руанды,Руанде,Руанду,Руандой,Руанде
RO,Румыния,Румынии,Румынии,Румынию,Румынией,Румынии
SV,Сальвадор,Сальвадора,Сальвадору,Сальвадора,Сальвадором,Сальвадоре
WS,Самоа,Самоа,Самоа,Самоа,Самоа,Самоа
SM,Сан-Марино,Сан-Марино,Сан-Марино,Сан-Марино,Сан-Марино,Сан-Марино
ST,Сан-Томе и Принсипи,Сан-Томе и Принсипи,Сан-Томе и Принсипи,Сан-Томе и Принсипи,Сан-Томе и Принсипи,Сан-Томе и Принсипи
SA,Саудовская Аравия,Саудовской Аравии,Саудовской Аравии,Саудовскую Аравию,Саудовской Аравией,Саудовской Аравии
SZ,Свазиленд,Свазиленда,Свазиленду,Свазиленд,Свазилендом,Свазиленде
SH,"Святая Елена, Остров вознесения, Тристан-да-Кунья","Святая Елена, Остров вознесения, Тристан-да-Кунья","Святая Елена, Остров вознесения, Тристан-да-Кунья","Святая Елена, Остров вознесения, Тристан-да-Кунья","Святая Елена, Остров вознесения, Тристан-да-Кунья","Святая Елена, Остров вознесения, Тристан-да-Кунья"
KP,Северная Корея,Северной Кореи,Северной Корее,Северную Корею,Северной Кореей,Северной Корее
MP,Северные Марианские острова,Северных Марианских островов,Северным Марианским островам,Северные Марианские острова,Северными Марианскими островами,Северных Марианских островах
SC,Сейшелы,Сейшелов,Сейшелам,Сейшелы,Сейшелами,Сейшелах
BL,Сен-Бартелеми,Сена-Бартелеми,Сену-Бартелеми,Сена-Бартелеми,Сеном-Бартелеми,Сене-Бартелеми
MF,Сен-Мартен,Сена-Мартена,Сену-Мартену,Сена-Мартена,Сеном-Мартеном,Сене-Мартене
SN,Сенегал,Сенегала,Сенегалу,Сенегал,Сенегалом,Сенегале
VC,Сент-Винсент и Гренадины,Сент-Винсента и Гренадин,Сент-Винсенту и Гренадинам,Сент-Винсент и Гренадины,Сент-Винсентом и Гренадинами,Сент-Винсенте и Гренадинах
KN,Сент-Китс и Невис,Сент-Китса и Невиса,Сент-Китсу и Невису,Сент-Китс и Невис,Сент-Китсом и Невисом,Сент-Китсе и Невисе
LC,Сент-Люсия,Сент-Люсии,Сент-Люсии,Сент-Люсию,Сент-Люсией,Сент-Люсии
PM,Сент-Пьер и Микелон,Сент-Пьера и Микелона,Сент-Пьеру и Микелону,Сент-Пьера и Микелон,Сент-Пьером и Микелоном,Сент-Пьере и Микелоне
RS,Сербия,Сербии,Сербии,Сербию,Сербией,Сербии
SG,Сингапур,Сингапура,Сингапуру,Сингапур,Сингапуром,Сингапуре
SX,Синт-Мартен,Синта-Мартена,Синту-Мартену,Синта-Мартена,Синтом-Мартеном,Синте-Мартене
SY,Сирия,Сирии,Сирии,Сирию,Сирией,Сирии
SK,Словакия,Словакии,Словакии,Словакию,Словакией,Словакии
SI,Словения,Словении,Словении,Словению,Словенией,Словении
SB,Соломоновы острова,Соломоновых островов,Соломоновым островам,Соломоновы острова,Соломоновыми островами,Соломоновых островах
SO,Сомали,Сомали,Сомали,Сомали,Сомали,Сомали
SD,Судан,Судана,Судану,Судан,Суданом,Судане
SR,Суринам,Суринама,Суринаму,Суринам,Суринамом,Суринаме
US,США,Соединённых Штатов Америки,Соединённым Штатам Америки,Соединённые Штаты Америки,Соединёнными Штатами Америки,Соединённых Штатах Америки
SL,Сьерра-Леоне,Сьерра-Леоне,Сьерра-Леоне,Сьерра-Леоне,Сьерра-Леоне,Сьерра-Леоне
TJ,Таджикистан,Таджикистана,Таджикистану,Таджикистан,Таджикистаном,Таджикистане
TH,Таиланд,Таиланда,Таиланду,Таиланд,Таиландом,Таиланде
TW,Тайвань,Тайваня,Тайваню,Тайвань,Тайванем,Тайване
TZ,Танзания,Танзании,Танзании,Танзанию,Танзанией,Танзании
TC,Теркс и Кайкос,Теркс и Кайкос,Теркс и Кайкос,Теркс и Кайкос,Теркс и Кайкос,Теркс и Кайкос
TL,Тимор-Лешти,Тимора-Лешти,Тимору-Лешти,Тимор-Лешти,Тимором-Лешти,Тиморе-Лешти
TG,Того,Того,Того,Того,Того,Того
TK,Токелау,Токелау,Токелау,Токелау,Токелау,Токелау
TO,Тонга,Тонги,Тонге,Тонгу,Тонгой,Тонге
TT,Тринидад и Тобаго,Тринидада и Тобаго,Тринидаду и Тобаго,Тринидад и Тобаго,Тринидадом и Тобаго,Тринидаде и Тобаго
TV,Тувалу,Тувалу,Тувалу,Тувалу,Тувалу,Тувалу
TN,Тунис,Туниса,Тунису,Тунис,Тунисом,Тунисе
TM,Туркмения,Туркмении,Туркмении,Туркмению,Туркменией,Туркмении
TR,Турция,Турции,Турции,Турцию,Турцией,Турции
UG,Уганда,Уганды,Уганде,Уганду,Угандой,Уганде
UZ,Узбекистан,Узбекистана,Узбекистану,Узбекистан,Узбекистаном,Узбекистане
UA,Украина,Украины,Украине,Украину,Украиной,Украине
WF,Уоллис и Футуна,Уоллиса и Футуна,Уоллису и Футуна,Уоллиса и Футуна,Уоллисом и Футуна,Ууоллисе и Футуна
UY,Уругвай,Уругвая,Уругваю,Уругвай,Уругваем,Уругвае
FO,Фарерские острова,Фарерских островов,Фарерским островам,Фарерские острова,Фарерскими островами,Фарерских островах
FJ,Фиджи,Фиджи,Фиджи,Фиджи,Фиджи,Фиджи
PH,Филиппины,Филиппин,Филиппинам,Филиппины,Филиппинами,Филиппинах
FI,Финляндия,Финляндии,Финляндии,Финляндию,Финляндией,Финляндии
FK,Фолклендские острова (Мальвинские),Фолклендских островов,Фолклендским островам,Фолклендские острова,Фолклендскими островами,Фолклендских островах
FR,Франция,Франции,Франции,Францию,Францией,Франции
GF,Французская Гвиана,Французской Гвианы,Французской Гвиане,Французскую Гвиану,Французской Гвианой,Французской Гвиане
PF,Французская Полинезия,Французской Полинезии,Французской Полинезии,Французскую Полинезию,Французской Полинезией,Французской Полинезии
TF,Французские Южные территории,Французских Южных территорий,Французским Южным территориям,Французские Южные территории,Французскими Южными территориями,Французских Южных территориях
HR,Хорватия,Хорватии,Хорватии,Хорватию,Хорватией,Хорватии
CF,ЦАР,Центрально-Африканской Республики,Центрально-Африканской Республике,Центрально-Африканскую Республику,Центрально-Африканской Республикой,Центрально-Африканской Республике
TD,Чад,Чада,Чаду,Чад,Чадом,Чаде
ME,Черногория,Черногории,Черногории,Черногорию,Черногорией,Черногории
CZ,Чехия,Чехии,Чехии,Чехию,Чехией,Чехии
CL,Чили,Чили,Чили,Чили,Чили,Чили
CH,Швейцария,Швейцарии,Швейцарии,Швейцарию,Швейцарией,Швейцарии
SE,Швеция,Швеции,Швеции,Швецию,Швецией,Швеции
SJ,Шпицберген и Ян-Майен,Шпицберген и Ян-Майен,Шпицберген и Ян-Майен,Шпицберген и Ян-Майен,Шпицберген и Ян-Майен,Шпицберген и Ян-Майен
LK,Шри-Ланка,Шри-Ланки,Шри-Ланке,Шри-Ланку,Шри-Ланкой,Шри-Ланке
EC,Эквадор,Эквадора,Эквадору,Эквадор,Эквадором,Эквадоре
GQ,Экваториальная Гвинея,Экваториальной Гвинеи,Экваториальной Гвинее,Экваториальную Гвинею,Экваториальной Гвинеей,Экваториальной Гвинеи
AX,Эландские острова,Эландских островов,Эландским островам,Эландские острова,Эландскими островами,Эландских островах
ER,Эритрея,Эритреи,Эритрее,Эритрею,Эритреей,Эритреи
EE,Эстония,Эстонии,Эстонии,Эстонию,Эстонией,Эстонии
ET,Эфиопия,Эфиопии,Эфиопии,Эфиопию,Эфиопией,Эфиопии
ZA,ЮАР,Южно-Африканская Республики,Южно-Африканская Республике,Южно-Африканская Республику,Южно-Африканская Республикой,Южно-Африканская Республике
GS,Южная Джорджия и Южные Сандвичевы острова,Южная Джорджия и Южные Сандвичевы острова,Южная Джорджия и Южные Сандвичевы острова,Южная Джорджия и Южные Сандвичевы острова,Южная Джорджия и Южные Сандвичевы острова,Южная Джорджия и Южные Сандвичевы острова
KR,Южная Корея,Южной Кореи,Южной Корее,Южную Корею,Южной Кореей,Южной Корее
SS,Южный Судан,Южного Судана,Южному Судану,Южный Судан,Южным Суданом,Южном Судане
JM,Ямайка,Ямайки,Ямайке,Ямайку,Ямайкой,Ямайке
JP,Япония,Японии,Японии,Японию,Японией,Японии
